Date,Open,High,Low,Close,Adj Close,Volume
2000/7/14,13.316326,13.556851,12.998056,13.109815,12.265347,3014447
2000/7/17,13.087949,13.119533,12.852283,12.913022,12.081231,1282249
2000/7/18,12.876579,13.075801,12.876579,12.927599,12.094869,663618
2000/7/19,12.961613,12.998056,12.854713,12.917881,12.085778,1454985
2000/7/20,12.92031,12.927599,12.682215,12.837706,12.010766,1690564
2000/7/21,12.837706,12.842565,12.687074,12.752672,11.93121,1268691
2000/7/24,12.662779,12.876579,12.633624,12.810981,11.985762,1921147
2000/7/25,12.755102,12.876579,12.706511,12.796404,11.972123,680942
2000/7/26,12.796404,12.900874,12.755102,12.776967,11.95394,1094526
2000/7/27,12.776967,12.876579,12.677356,12.774538,11.951668,1385820
2000/7/28,13.117103,13.117103,12.779397,12.859572,12.031224,2104984
2000/7/31,12.876579,13.629737,12.876579,13.573858,12.6995,14732707
2000/8/1,13.605442,13.746355,13.333333,13.394071,12.531293,5228328
2000/8/2,13.364917,13.629737,13.24101,13.590864,12.71541,4928856
2000/8/3,13.605442,14.334305,13.576287,14.159378,13.247302,13673442
2000/8/4,14.018464,14.237123,13.848396,13.93586,13.038183,6478592
2000/8/7,13.945578,14.378036,13.850826,14.312439,13.390505,5254250
2000/8/8,14.339164,14.382896,14.212827,14.285714,13.3655,3448162
2000/8/9,14.334305,14.455782,14.237123,14.36103,13.435965,6127349
2000/8/10,14.453352,14.528668,14.212827,14.368318,13.442784,3949129
2000/8/11,14.370748,14.426627,13.93343,14.001457,13.099555,5622472
2000/8/14,13.994169,13.994169,13.685617,13.787657,12.899529,3542229
2000/8/15,13.787657,14.042759,13.770651,13.845966,12.95408,2086737
2000/8/16,13.848396,13.967444,13.777939,13.911564,13.015452,1499644
2000/8/17,13.896987,13.911564,13.741496,13.850826,12.958627,1458010
2000/8/18,13.824101,13.824101,13.605442,13.61516,12.738141,1555135
2000/8/21,13.556851,13.556851,13.284742,13.362487,12.501743,2374503
2000/8/22,13.435374,13.600583,13.260447,13.270165,12.41537,1180863
2000/8/23,13.192419,13.345481,12.827988,13.046647,12.206247,3328728
2000/8/24,13.070942,13.114674,12.949465,13.090379,12.247166,2176351
2000/8/25,13.095238,13.338192,13.073372,13.321185,12.4631,1546056
2000/8/28,13.338192,13.406219,13.095238,13.13654,12.290354,1516317
2000/8/29,13.194849,13.24101,12.998056,13.092808,12.249435,1095996
2000/8/30,13.070942,13.155976,13.002915,13.022351,12.183519,859585
2000/8/31,12.876579,12.998056,12.803692,12.823129,11.99713,1754239
2000/9/1,12.755102,12.900874,12.742954,12.827988,12.001675,1322013
2000/9/4,12.81584,12.937317,12.745383,12.92517,12.092597,833868
2000/9/5,12.92517,12.968901,12.755102,12.76239,11.940303,981789
2000/9/6,12.706511,12.706511,12.244897,12.261904,11.472056,2173033
2000/9/7,12.261904,12.504859,12.147716,12.220602,11.433412,1949839
2000/9/8,12.223032,12.609329,12.223032,12.434402,11.633443,1594497
2000/9/11,12.463556,12.677356,12.463556,12.619047,11.806191,1406984
2000/9/12,12.512147,12.633624,12.414965,12.458697,11.656172,918946
2000/9/13,12.451409,12.944606,12.417395,12.883867,12.053955,5185126
2000/9/14,12.949465,12.949465,12.648202,12.694363,11.876658,628768
2000/9/15,12.597181,12.706511,12.512147,12.665208,11.849378,692064
2000/9/18,12.585034,12.60447,12.366375,12.587463,11.776643,1422506
2000/9/19,12.342079,12.427113,12.240038,12.315354,11.522059,689355
2000/9/20,12.342079,12.509718,12.242468,12.317784,11.524336,1124326
